text,Autism_Diagnosis
Concerts and parties are fun. trade account life late expect item mention.,0
I usually understand sarcasm. peace finish product ago city world why.,0
I'm okay with last-minute changes. i'm okay with last-minute changes. i'm working on this.,0
I prefer stickin' to my routines... i'm workin' on this...,1
I'm flexible with my schedule.,0
I like knowing what to expect. i eat similar foods regularly. i really enjoy talking about my interests. it depends on my mood.,1
Meeting new people excites me. i'm flexible with my schedule. i'm working on this.,0
I like knowin' what to expect. i often struggle with eye contact. best think family save campaign perhaps sumtimes.,1
Strong smells sometimes make me nauseous. i don't always read facial expressions well. i often struggle with eye contact. i've noticed this for a while.,1
I like trying new restaurants... skin itself sense seven itself share...,0
Eye contact feels natural. i've noticed this for a while.,0
I'm okay with last-minute changes. i usually understand sarcasm. follow car some future.,0
I adapt well to new situations. i'm okay with last-minute changes. i've noticed this for a while.,0
Conversations can be confusing. i prefer sticking to my routines. my colleague says this is normal.,1
I eat similar foods regularly. i don't always read facial expressions well. bright lights can be painful. company yes design option lot.,1
Certain sounds really irritate me. i prefer sticking to my routines. i really enjoy talking about my interests. it depends on my mood.,1
Changes to my schedule upset me. i'm working on this.,1
I like knowing what to expect.,1
Meeting new people excites me. i enjoy socializing with people. i'm working on this.,0
I'm flexible with my schedule. eye contact feels natural. my friend says this is normal.,1
Some clothing textures feel uncomfortable. some clothing textures feel uncomfortable. bright lights can be painful. whole someone recent.,1
Group settings make me anxious. ahead many nation current hope.,1
Different textures don't bother me.,0
I enjoy socializing with people. i'm okay with last-minute changes. it depends on my mood.,0
I usually understand sarcasm. my family member says this is normal.,1
I enjoy socializing with people. i'm working on this.,0
I sometimes don't get jokes right away. i organize my things carefully. three score finish grow probably short degree plant.,0
Concerts and parties are fun. i've noticed this for a while.,0
I usually understand sarcasm.,0
Some clothing textures feel uncomfortable. i eat similar foods regularly. my family member says this is normal.,1
Group settings make me anxious. i prefer sticking to my routines. my family member says this is normal.,1
Concerts and parties are fun. meeting new people excites me.,0
Concerts and parties are fun. it depends on my mood.,0
Eye contact feels natural. i like trying new restaurants. it depends on my mood.,0
I'm okay with last-minute changes. party rock close knowledge deal.,0
I sometimes miss social cues. making friends feels challenging sometimes.,1
I enjoy socializing with people. concerts and parties are fun. it depends on my mood.,0
Makin' friends feels challengin' sumtimes. loud noises bother me. i really enjoy talkin' about my interests. i'm workin' on this.,1
Certain sounds really irritate me. bright lights can be painful. it depends on my mood.,1
Conversations can be confusing. changes to my schedule upset me.,1
Certain sounds really irritate me. my family member says this is normal.,1
I usually understand sarcasm.,0
Making friends feels challenging sometimes. loud noises bother me. education deep office without require teacher appear rock.,0
Making friends feels challenging sometimes. it depends on my mood.,1
I prefer sticking to my routines. group settings make me anxious. some clothing textures feel uncomfortable. my family member says this is normal.,1
I adapt well to new situations. it depends on my mood.,0
I'm okay with last-minute changes. i usually understand sarcasm. another answer experience serve.,0
I adapt well to new situations. ago describe court.,0
Concerts and parties are fun. eye contact feels natural. i'm working on this.,0
Conversations can be confusing. strategy nothing religious discover discussion in.,0
I adapt well to new situations. i usually understand sarcasm.,0
Certain sounds really irritate me. my colleague says this is normal.,1
I prefer quiet time alone. people say i'm very literal. i've noticed this for a while.,1
Different textures don't bother me. i adapt well to new situations. i've noticed this for a while.,0
I prefer sticking to my routines. making friends feels challenging sometimes. i've noticed this for a while.,1
Changes to my schedule upset me. effect reality trouble north catch young become.,0
I'm flexible with my schedule. my family member says this is normal.,1
Eye contact feels natural. i'm flexible with my schedule. defense who pick little ago policy.,1
I prefer quiet time alone. i sometimes miss social cues. i really enjoy talking about my interests.,1
Concerts and parties are fun. i enjoy socializing with people. i've noticed this for a while.,0
I'm okay with last-minute changes. keep agent important.,0
I like knowing what to expect. foreign eat enjoy prepare each scene.,1
I like trying new restaurants. eye contact feels natural. i'm working on this.,0
Strong smells sometimes make me nauseous. i organize my things carefully. i like knowing what to expect. it depends on my mood.,1
I'm flexible with my schedule.,0
I really enjoy talking about my interests... my family member says this is normal...,1
I like knowing what to expect. it depends on my mood.,1
I usually understand sarcasm. different textures don't bother me. my friend says this is normal.,0
I often struggle with eye contact... i often struggle with eye contact... it depends on my mood...,1
Concerts and parties are fun. i'm working on this.,0
I'm flexible with my schedule. on take lot side power.,0
I'm okay with last-minute changes. i adapt well to new situations. time probably skill early into where back.,0
I organize my things carefully. conversations can be confusing. my family member says this is normal.,1
Meetin' new people excites me. it depends on my mood.,0
I really enjoy talking about my interests. strong smells sometimes make me nauseous. major spring may its matter respond economic key.,0
I enjoy socializing with people. concerts and parties are fun. account affect occur policy important only suddenly treatment.,0
I don't always read facial expressions well. i really enjoy talkin' about my interests. i sumtimes miss social cues. my friend says this is normal.,1
I don't always read facial expressions well. loud noises bother me. lose player man child.,1
Changes to my schedule upset me. my family member says this is normal.,1
I like trying new restaurants. i'm working on this.,0
I'm flexible with my schedule... i'm working on this...,0
Concerts and parties are fun. near purpose yeah effect each hear.,0
I'm okay with last-minute changes. concerts and parties are fun. it depends on my mood.,0
Eye contact feels natural. appear practice though protect.,0
I'm flexible with my schedule. meeting new people excites me. environmental student must simply artist leader.,0
Group settings make me anxious. i prefer sticking to my routines. i'm working on this.,0
I like knowing what to expect. i sometimes miss social cues. bright lights can be painful. i've noticed this for a while.,0
I don't always read facial expressions well... loud noises bother me... loud noises bother me... i'm working on this...,0
I often struggle with eye contact. i'm working on this.,0
I enjoy socializing with people. among offer again also consider.,0
I eat similar foods regularly. i sumtimes miss social cues. some clothin' textures feel uncomfortable. my friend says this is normal.,1
Makin' friends feels challengin' sumtimes. i sumtimes don't get jokes right away. some clothin' textures feel uncomfortable. between summer card show investment old.,1
I enjoy socializing with people. different textures don't bother me. i'm working on this.,0
